geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,city_name,time_zone,u_id,u_access_time,u_ip_address
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,7378814827,2016-03-13T16:00:00.000Z,156.156.16.229
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,5254531566,2016-03-31T05:00:00.000Z,156.159.160.202
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3884829185,2016-01-29T06:00:00.000Z,169.255.184.129
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,4429479218,2016-04-22T03:00:00.000Z,169.255.184.129
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,6406939440,2016-01-30T01:00:00.000Z,169.255.184.129
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8519412104,2016-01-01T03:00:00.000Z,169.255.184.130
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3449728273,2015-12-30T07:00:00.000Z,169.255.184.130
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8100109588,2015-12-22T16:00:00.000Z,169.255.184.130
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3335172180,2016-01-16T05:00:00.000Z,169.255.184.130
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8230219163,2016-01-20T08:00:00.000Z,169.255.184.130
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3298734294,2015-12-18T01:00:00.000Z,169.255.184.131
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3449728273,2016-01-15T05:00:00.000Z,169.255.184.131
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,7278699629,2016-03-22T13:00:00.000Z,169.255.184.132
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3449728273,2015-12-27T18:00:00.000Z,169.255.184.132
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8100109588,2016-02-09T22:00:00.000Z,169.255.184.132
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,5935455253,2016-02-02T17:00:00.000Z,169.255.184.132
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8278230987,2015-12-31T06:00:00.000Z,169.255.184.133
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8600102728,2016-01-20T21:00:00.000Z,169.255.184.133
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,5935455253,2016-01-01T18:00:00.000Z,169.255.184.134
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,5120292396,2016-04-13T15:00:00.000Z,169.255.184.134
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8100109588,2016-02-05T23:00:00.000Z,169.255.184.135
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8278230987,2016-01-03T04:00:00.000Z,169.255.184.135
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3457818790,2016-02-25T03:00:00.000Z,169.255.184.136
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3449728273,2015-12-30T22:00:00.000Z,169.255.184.136
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3449728273,2016-01-06T21:00:00.000Z,169.255.184.136
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,5275535713,2016-01-28T06:00:00.000Z,169.255.184.136
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,5275535713,2016-01-28T07:00:00.000Z,169.255.184.136
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,4116829921,2016-01-05T18:00:00.000Z,169.255.184.137
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3449728273,2015-12-26T19:00:00.000Z,169.255.184.138
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8948179644,2016-01-12T03:00:00.000Z,169.255.184.138
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3082010991,2015-12-26T21:00:00.000Z,169.255.184.139
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,8239972608,2015-12-28T17:00:00.000Z,169.255.184.139
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,3670141772,2016-01-17T22:00:00.000Z,169.255.184.139
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,7278699629,2016-02-19T21:00:00.000Z,169.255.184.141
149590,en,AF,Africa,TZ,Tanzania,,Africa/Dar_es_Salaam,7278699629,2016-03-26T16:00:00.000Z,169.255.184.141
